row_key|list_mdm_id|meta_account|cummulation_count|recommendation_generation_date|additional_info|priority|tip|mdm_id|recommendation_reference_no|generate_replication|update_replication|cummulation_flag|customer_id|recommendation_name|attachment_url|recommendation_id|meta_product|dismissable_flag|action_code_url|action_code|generic|recommendation_short_desc|recommendation_detailed_desc|recommendation_type|recommendation_t_c|recommendation_start_date|crm_id|crm_creation_type|screen_indentifier|recommendation_end_date|recommendation_level|channel_ref_no|conversion_ref_no|action_user|action_channel|status|deferment_date|action_blacklist_reason|recommendation_category|expiry_date|rolling_days|action_date|blacklist_days
996264849_123|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|1|Cash not or less dispensed from Domestic Other bank ATM but account debited|996264849|123|Y|Y|Y|996264849|Renew FD |-|107|SA|FALSE|Create SR|SA002T|0|Cash not or less dispensed from Domestic Other bank ATM but account debited|Cash not or less dispensed from Domestic Other bank ATM but account debited|Regulatory|No Terms|2019-01-23|9|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
996264849_124|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Mutilated Note dispensed at the ATM|996264849|124|Y|Y|Y|996264849|Renew FD |-|107|CA|FALSE|Create SR|CA002T|0|Mutilated Note dispensed at the ATM|Mutilated Note dispensed at the ATM|Regulatory|No Terms|2019-01-23|15|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
996264849_125|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Reschedulement letter|996264849|125|Y|Y|Y|996264849|Renew FD |-|107|PL|FALSE|Create SR|PL002T|0|Reschedulement letter|Reschedulement letter|Regulatory|No Terms|2019-01-23|927|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
996264849_126|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|4|ECS updated with incorrect account number|996264849|126|Y|Y|Y|996264849|Renew FD |-|107|MF|FALSE|Create SR|MF002T|0|ECS updated with incorrect account number|ECS updated with incorrect account number|Regulatory|No Terms|2019-01-23|139|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
996264849_127|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|5|ECS instructions not initiated|996264849|127|Y|Y|Y|996264849|Renew FD |-|107|FD|FALSE|Create SR|SR01|0|ECS instructions not initiated|ECS instructions not initiated|Regulatory|No Terms|2019-01-25|133|CASE|-|2019-01-25|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
996264849_128|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|4|Net-Banking related issues|996264849|128|Y|Y|Y|996264849|Renew FD |-|107|FD|TRUE|Create SR|SR01|0|Net-Banking related issues|Net-Banking related issues|Regulatory|No Terms|2018-12-01|208|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
996264849_129|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Debit Card dispatch request : Returned Case|996264849|129|Y|Y|Y|996264849|Renew FD |-|107|FD|TRUE|Create SR|SR01|0|Debit Card dispatch request : Returned Case|Debit Card dispatch request : Returned Case|Regulatory|No Terms|2018-12-01|391|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
996264849_130|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Bank account change Inquiry|996264849|130|Y|Y|Y|996264849|Renew FD |-|107|FD|FALSE|Create SR|SR01|0|Bank account change Inquiry|Bank account change Inquiry|Regulatory|No Terms|2018-12-01|516|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
996264849_131|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|1|Debit Card Unlock|996264849|131|Y|Y|Y|996264849|Renew FD |-|107|FD|FALSE|Create SR|SR01|0|Debit Card Unlock|Debit Card Unlock|Regulatory|No Terms|2018-12-01|168|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
996264849_132|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Renew your existing FD 1|996264849|132|Y|Y|Y|996264849|Renew FD |-|107|FD|TRUE|Book FD|FD001|0|Kindly Renew your existing FD 1|Kindly Renew your existing FD 1|X-Sell|No Terms|2019-01-24|1|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|X-Sell|NULL|0|NULL|0
